business_id,attribute,value
wJr6kSA5dchdgOdwH6dZ2w,Good For Groups,True
wJr6kSA5dchdgOdwH6dZ2w,Price Range,1
yXuao0pFz1AxB21vJjDf5w,Accepts Credit Cards,True
yXuao0pFz1AxB21vJjDf5w,Wheelchair Accessible,True
yXuao0pFz1AxB21vJjDf5w,Price Range,1
F04xyOUA2xnUoCiWpx9iJA,Accepts Credit Cards,True
fNGIbpazjTRdXgwRY_NIXA,Alcohol,full_bar
fNGIbpazjTRdXgwRY_NIXA,Noise Level,average
fNGIbpazjTRdXgwRY_NIXA,Attire,casual
fNGIbpazjTRdXgwRY_NIXA,Good for Kids,True
fNGIbpazjTRdXgwRY_NIXA,Wheelchair Accessible,True
fNGIbpazjTRdXgwRY_NIXA,Good For Dancing,False
fNGIbpazjTRdXgwRY_NIXA,Delivery,False
fNGIbpazjTRdXgwRY_NIXA,Dogs Allowed,False
fNGIbpazjTRdXgwRY_NIXA,Coat Check,False
fNGIbpazjTRdXgwRY_NIXA,Smoking,no
fNGIbpazjTRdXgwRY_NIXA,Accepts Credit Cards,True
fNGIbpazjTRdXgwRY_NIXA,Take-out,True
fNGIbpazjTRdXgwRY_NIXA,Price Range,1
fNGIbpazjTRdXgwRY_NIXA,Outdoor Seating,False
fNGIbpazjTRdXgwRY_NIXA,Takes Reservations,False
fNGIbpazjTRdXgwRY_NIXA,Waiter Service,True
fNGIbpazjTRdXgwRY_NIXA,Wi-Fi,free
fNGIbpazjTRdXgwRY_NIXA,Caters,False
fNGIbpazjTRdXgwRY_NIXA,Has TV,True
fNGIbpazjTRdXgwRY_NIXA,Good For Groups,True
b9WZJp5L1RZr4F1nxclOoQ,Alcohol,none
b9WZJp5L1RZr4F1nxclOoQ,Noise Level,average
b9WZJp5L1RZr4F1nxclOoQ,Has TV,True
b9WZJp5L1RZr4F1nxclOoQ,Attire,casual
b9WZJp5L1RZr4F1nxclOoQ,Good for Kids,True
b9WZJp5L1RZr4F1nxclOoQ,Wheelchair Accessible,False
b9WZJp5L1RZr4F1nxclOoQ,Delivery,False
b9WZJp5L1RZr4F1nxclOoQ,Caters,False
b9WZJp5L1RZr4F1nxclOoQ,BYOB,False
b9WZJp5L1RZr4F1nxclOoQ,Corkage,False
b9WZJp5L1RZr4F1nxclOoQ,Accepts Credit Cards,False
b9WZJp5L1RZr4F1nxclOoQ,BYOB/Corkage,yes_free
b9WZJp5L1RZr4F1nxclOoQ,Take-out,True
b9WZJp5L1RZr4F1nxclOoQ,Price Range,1
b9WZJp5L1RZr4F1nxclOoQ,Outdoor Seating,False
b9WZJp5L1RZr4F1nxclOoQ,Takes Reservations,False
b9WZJp5L1RZr4F1nxclOoQ,Waiter Service,True
b9WZJp5L1RZr4F1nxclOoQ,Wi-Fi,no
b9WZJp5L1RZr4F1nxclOoQ,Order at Counter,True
b9WZJp5L1RZr4F1nxclOoQ,Good For Groups,False
zaXDakTd3RXyOa7sMrUE1g,Take-out,True
zaXDakTd3RXyOa7sMrUE1g,Noise Level,average
zaXDakTd3RXyOa7sMrUE1g,Takes Reservations,False
zaXDakTd3RXyOa7sMrUE1g,Delivery,False
zaXDakTd3RXyOa7sMrUE1g,Has TV,False
zaXDakTd3RXyOa7sMrUE1g,Outdoor Seating,False
zaXDakTd3RXyOa7sMrUE1g,Attire,casual
zaXDakTd3RXyOa7sMrUE1g,Alcohol,none
zaXDakTd3RXyOa7sMrUE1g,Waiter Service,True
zaXDakTd3RXyOa7sMrUE1g,Accepts Credit Cards,True
zaXDakTd3RXyOa7sMrUE1g,Good for Kids,True
zaXDakTd3RXyOa7sMrUE1g,Good For Groups,True
zaXDakTd3RXyOa7sMrUE1g,Price Range,1
zgy27FSnvwdINfk5cXBIyQ,Accepts Credit Cards,True
zgy27FSnvwdINfk5cXBIyQ,Wi-Fi,free
zgy27FSnvwdINfk5cXBIyQ,Price Range,2
WETE_LykpcnrC1sFcQ5EGg,Coat Check,False
WETE_LykpcnrC1sFcQ5EGg,Take-out,True
WETE_LykpcnrC1sFcQ5EGg,Good For Dancing,False
WETE_LykpcnrC1sFcQ5EGg,Noise Level,average
WETE_LykpcnrC1sFcQ5EGg,Takes Reservations,False
WETE_LykpcnrC1sFcQ5EGg,Has TV,True
WETE_LykpcnrC1sFcQ5EGg,Delivery,False
WETE_LykpcnrC1sFcQ5EGg,Outdoor Seating,True
WETE_LykpcnrC1sFcQ5EGg,Attire,casual
WETE_LykpcnrC1sFcQ5EGg,Alcohol,full_bar
WETE_LykpcnrC1sFcQ5EGg,Waiter Service,True
WETE_LykpcnrC1sFcQ5EGg,Accepts Credit Cards,True
WETE_LykpcnrC1sFcQ5EGg,Good for Kids,False
WETE_LykpcnrC1sFcQ5EGg,Good For Groups,True
WETE_LykpcnrC1sFcQ5EGg,Price Range,2
woOVJ0Z2f6XNCDntHA3b_g,Accepts Credit Cards,False
rv7CY8G_XibTx82YhuqQRw,Take-out,True
rv7CY8G_XibTx82YhuqQRw,Wi-Fi,no
rv7CY8G_XibTx82YhuqQRw,Alcohol,none
rv7CY8G_XibTx82YhuqQRw,Caters,False
rv7CY8G_XibTx82YhuqQRw,Noise Level,average
rv7CY8G_XibTx82YhuqQRw,Takes Reservations,False
rv7CY8G_XibTx82YhuqQRw,Has TV,False
rv7CY8G_XibTx82YhuqQRw,Delivery,False
rv7CY8G_XibTx82YhuqQRw,Wheelchair Accessible,True
rv7CY8G_XibTx82YhuqQRw,Outdoor Seating,False
rv7CY8G_XibTx82YhuqQRw,Attire,casual
rv7CY8G_XibTx82YhuqQRw,Waiter Service,False
rv7CY8G_XibTx82YhuqQRw,Accepts Credit Cards,True
rv7CY8G_XibTx82YhuqQRw,Good for Kids,True
rv7CY8G_XibTx82YhuqQRw,Good For Groups,True
rv7CY8G_XibTx82YhuqQRw,Price Range,1
e_U_FnpdKVgNb4mUN2cU_Q,By Appointment Only,True
SQ0j7bgSTazkVQlF5AnqyQ,Take-out,True
SQ0j7bgSTazkVQlF5AnqyQ,Alcohol,none
SQ0j7bgSTazkVQlF5AnqyQ,Noise Level,quiet
SQ0j7bgSTazkVQlF5AnqyQ,Delivery,True
SQ0j7bgSTazkVQlF5AnqyQ,Has TV,True
SQ0j7bgSTazkVQlF5AnqyQ,Outdoor Seating,False
SQ0j7bgSTazkVQlF5AnqyQ,Attire,casual
SQ0j7bgSTazkVQlF5AnqyQ,Waiter Service,False
SQ0j7bgSTazkVQlF5AnqyQ,Accepts Credit Cards,True
SQ0j7bgSTazkVQlF5AnqyQ,Good for Kids,True
SQ0j7bgSTazkVQlF5AnqyQ,Good For Groups,False
SQ0j7bgSTazkVQlF5AnqyQ,Price Range,1
wqu7ILomIOPSduRwoWp4AQ,Take-out,True
wqu7ILomIOPSduRwoWp4AQ,Wi-Fi,no
wqu7ILomIOPSduRwoWp4AQ,Caters,False
wqu7ILomIOPSduRwoWp4AQ,Noise Level,average
wqu7ILomIOPSduRwoWp4AQ,Takes Reservations,False
wqu7ILomIOPSduRwoWp4AQ,Delivery,False
wqu7ILomIOPSduRwoWp4AQ,Has TV,False
wqu7ILomIOPSduRwoWp4AQ,Outdoor Seating,False
wqu7ILomIOPSduRwoWp4AQ,Attire,casual
wqu7ILomIOPSduRwoWp4AQ,Alcohol,none
wqu7ILomIOPSduRwoWp4AQ,Waiter Service,True
wqu7ILomIOPSduRwoWp4AQ,Accepts Credit Cards,True
wqu7ILomIOPSduRwoWp4AQ,Good for Kids,True
wqu7ILomIOPSduRwoWp4AQ,Good For Groups,True
wqu7ILomIOPSduRwoWp4AQ,Price Range,1
1u2NauOy8xDj7aFQET680A,Good for Kids,True
P1fJb2WQ1mXoiudj8UE44w,Take-out,True
P1fJb2WQ1mXoiudj8UE44w,Wi-Fi,no
P1fJb2WQ1mXoiudj8UE44w,Caters,True
P1fJb2WQ1mXoiudj8UE44w,Noise Level,average
P1fJb2WQ1mXoiudj8UE44w,Takes Reservations,True
P1fJb2WQ1mXoiudj8UE44w,Has TV,True
P1fJb2WQ1mXoiudj8UE44w,Delivery,False
P1fJb2WQ1mXoiudj8UE44w,Wheelchair Accessible,True
P1fJb2WQ1mXoiudj8UE44w,Outdoor Seating,True
P1fJb2WQ1mXoiudj8UE44w,Attire,casual
P1fJb2WQ1mXoiudj8UE44w,Alcohol,full_bar
P1fJb2WQ1mXoiudj8UE44w,Waiter Service,True
P1fJb2WQ1mXoiudj8UE44w,Accepts Credit Cards,True
P1fJb2WQ1mXoiudj8UE44w,Good for Kids,True
P1fJb2WQ1mXoiudj8UE44w,Good For Groups,True
P1fJb2WQ1mXoiudj8UE44w,Price Range,2
8QlnAcjGE6dgfKTVoxrPvQ,Take-out,True
8QlnAcjGE6dgfKTVoxrPvQ,Wi-Fi,no
8QlnAcjGE6dgfKTVoxrPvQ,Alcohol,none
8QlnAcjGE6dgfKTVoxrPvQ,Caters,False
8QlnAcjGE6dgfKTVoxrPvQ,Noise Level,quiet
8QlnAcjGE6dgfKTVoxrPvQ,Takes Reservations,False
8QlnAcjGE6dgfKTVoxrPvQ,Has TV,False
8QlnAcjGE6dgfKTVoxrPvQ,Delivery,False
8QlnAcjGE6dgfKTVoxrPvQ,Wheelchair Accessible,False
8QlnAcjGE6dgfKTVoxrPvQ,Outdoor Seating,False
8QlnAcjGE6dgfKTVoxrPvQ,Attire,casual
8QlnAcjGE6dgfKTVoxrPvQ,Waiter Service,False
8QlnAcjGE6dgfKTVoxrPvQ,Accepts Credit Cards,True
8QlnAcjGE6dgfKTVoxrPvQ,Good for Kids,True
8QlnAcjGE6dgfKTVoxrPvQ,Good For Groups,False
8QlnAcjGE6dgfKTVoxrPvQ,Price Range,2
t_gan0EXAw8csKIeFyazJw,Take-out,True
t_gan0EXAw8csKIeFyazJw,Noise Level,average
t_gan0EXAw8csKIeFyazJw,Delivery,True
t_gan0EXAw8csKIeFyazJw,Has TV,False
t_gan0EXAw8csKIeFyazJw,Outdoor Seating,False
t_gan0EXAw8csKIeFyazJw,Waiter Service,True
t_gan0EXAw8csKIeFyazJw,Accepts Credit Cards,True
t_gan0EXAw8csKIeFyazJw,Good For Groups,True
t_gan0EXAw8csKIeFyazJw,Price Range,1
3gmBc0qN_LtGbZAjTtHWZg,Wi-Fi,free
3gmBc0qN_LtGbZAjTtHWZg,Price Range,2
3gmBc0qN_LtGbZAjTtHWZg,Outdoor Seating,True
3gmBc0qN_LtGbZAjTtHWZg,Accepts Credit Cards,True
3gmBc0qN_LtGbZAjTtHWZg,Wheelchair Accessible,True
sZ4uYs99km644ZMR1TO76A,Good For Groups,True
yHTLTr-QN-loO_7XoxS8qg,Accepts Credit Cards,True
yHTLTr-QN-loO_7XoxS8qg,Price Range,2
iQLLIdmJSt6LQHSjpZERLA,Accepts Credit Cards,True
iQLLIdmJSt6LQHSjpZERLA,Price Range,2
6ilJq_05xRgek_8qUp36-g,Take-out,True
6ilJq_05xRgek_8qUp36-g,Wi-Fi,no
6ilJq_05xRgek_8qUp36-g,Drive-Thru,True
6ilJq_05xRgek_8qUp36-g,Caters,False
6ilJq_05xRgek_8qUp36-g,Noise Level,average
6ilJq_05xRgek_8qUp36-g,Takes Reservations,False
6ilJq_05xRgek_8qUp36-g,Has TV,False
6ilJq_05xRgek_8qUp36-g,Delivery,False
6ilJq_05xRgek_8qUp36-g,Wheelchair Accessible,True
6ilJq_05xRgek_8qUp36-g,Outdoor Seating,False
6ilJq_05xRgek_8qUp36-g,Attire,casual
6ilJq_05xRgek_8qUp36-g,Alcohol,none
6ilJq_05xRgek_8qUp36-g,Waiter Service,True
6ilJq_05xRgek_8qUp36-g,Accepts Credit Cards,True
6ilJq_05xRgek_8qUp36-g,Good for Kids,True
6ilJq_05xRgek_8qUp36-g,Good For Groups,True
6ilJq_05xRgek_8qUp36-g,Price Range,1
57HN9fGRar_GckBmgHgemA,Wheelchair Accessible,True
57HN9fGRar_GckBmgHgemA,Price Range,2
MKyk4F4HSzHF8v-4cYe3Ww,Alcohol,full_bar
MKyk4F4HSzHF8v-4cYe3Ww,Noise Level,very_loud
MKyk4F4HSzHF8v-4cYe3Ww,Attire,casual
MKyk4F4HSzHF8v-4cYe3Ww,Good for Kids,False
MKyk4F4HSzHF8v-4cYe3Ww,Wheelchair Accessible,True
MKyk4F4HSzHF8v-4cYe3Ww,Good For Dancing,True
MKyk4F4HSzHF8v-4cYe3Ww,Delivery,False
MKyk4F4HSzHF8v-4cYe3Ww,Coat Check,False
MKyk4F4HSzHF8v-4cYe3Ww,Smoking,no
MKyk4F4HSzHF8v-4cYe3Ww,Accepts Credit Cards,True
MKyk4F4HSzHF8v-4cYe3Ww,Take-out,False
MKyk4F4HSzHF8v-4cYe3Ww,Price Range,2
MKyk4F4HSzHF8v-4cYe3Ww,Happy Hour,True
MKyk4F4HSzHF8v-4cYe3Ww,Outdoor Seating,False
MKyk4F4HSzHF8v-4cYe3Ww,Takes Reservations,True
MKyk4F4HSzHF8v-4cYe3Ww,Waiter Service,True
MKyk4F4HSzHF8v-4cYe3Ww,Wi-Fi,no
MKyk4F4HSzHF8v-4cYe3Ww,Caters,False
MKyk4F4HSzHF8v-4cYe3Ww,Has TV,False
MKyk4F4HSzHF8v-4cYe3Ww,Good For Groups,True
gClSqcwuLsgyZRCzhJc7Dg,Accepts Credit Cards,True
gClSqcwuLsgyZRCzhJc7Dg,Price Range,2
1qCuOcks5HRv67OHovAVpg,Coat Check,False
1qCuOcks5HRv67OHovAVpg,Take-out,True
1qCuOcks5HRv67OHovAVpg,Good For Dancing,False
1qCuOcks5HRv67OHovAVpg,Noise Level,loud
1qCuOcks5HRv67OHovAVpg,Takes Reservations,False
1qCuOcks5HRv67OHovAVpg,Delivery,False
1qCuOcks5HRv67OHovAVpg,Happy Hour,True
1qCuOcks5HRv67OHovAVpg,Has TV,True
1qCuOcks5HRv67OHovAVpg,Outdoor Seating,True
1qCuOcks5HRv67OHovAVpg,Attire,casual
1qCuOcks5HRv67OHovAVpg,Alcohol,full_bar
1qCuOcks5HRv67OHovAVpg,Waiter Service,True
1qCuOcks5HRv67OHovAVpg,Accepts Credit Cards,True
1qCuOcks5HRv67OHovAVpg,Good for Kids,False
1qCuOcks5HRv67OHovAVpg,Good For Groups,True
1qCuOcks5HRv67OHovAVpg,Price Range,2
sbW8qHJgzEIH42B0S-3New,Alcohol,full_bar
sbW8qHJgzEIH42B0S-3New,Noise Level,very_loud
sbW8qHJgzEIH42B0S-3New,Attire,casual
sbW8qHJgzEIH42B0S-3New,Good for Kids,True
sbW8qHJgzEIH42B0S-3New,Wheelchair Accessible,True
sbW8qHJgzEIH42B0S-3New,Delivery,False
sbW8qHJgzEIH42B0S-3New,Good For Dancing,False
sbW8qHJgzEIH42B0S-3New,BYOB,False
sbW8qHJgzEIH42B0S-3New,Coat Check,True
sbW8qHJgzEIH42B0S-3New,Smoking,no
sbW8qHJgzEIH42B0S-3New,Accepts Credit Cards,True
sbW8qHJgzEIH42B0S-3New,BYOB/Corkage,yes_free
sbW8qHJgzEIH42B0S-3New,Take-out,True
sbW8qHJgzEIH42B0S-3New,Price Range,2
sbW8qHJgzEIH42B0S-3New,Corkage,False
sbW8qHJgzEIH42B0S-3New,Happy Hour,True
sbW8qHJgzEIH42B0S-3New,Outdoor Seating,False
sbW8qHJgzEIH42B0S-3New,Takes Reservations,True
sbW8qHJgzEIH42B0S-3New,Waiter Service,True
sbW8qHJgzEIH42B0S-3New,Wi-Fi,no
sbW8qHJgzEIH42B0S-3New,Caters,True
sbW8qHJgzEIH42B0S-3New,Has TV,True
sbW8qHJgzEIH42B0S-3New,Good For Groups,True
W7ysp8GLCBrs0GXIVwAcBQ,Take-out,True
W7ysp8GLCBrs0GXIVwAcBQ,Wi-Fi,free
W7ysp8GLCBrs0GXIVwAcBQ,Drive-Thru,True
W7ysp8GLCBrs0GXIVwAcBQ,Noise Level,quiet
W7ysp8GLCBrs0GXIVwAcBQ,Takes Reservations,False
W7ysp8GLCBrs0GXIVwAcBQ,Delivery,False
W7ysp8GLCBrs0GXIVwAcBQ,Wheelchair Accessible,True
W7ysp8GLCBrs0GXIVwAcBQ,Outdoor Seating,False
W7ysp8GLCBrs0GXIVwAcBQ,Attire,casual
W7ysp8GLCBrs0GXIVwAcBQ,Alcohol,none
W7ysp8GLCBrs0GXIVwAcBQ,Waiter Service,False
W7ysp8GLCBrs0GXIVwAcBQ,Accepts Credit Cards,True
W7ysp8GLCBrs0GXIVwAcBQ,Good for Kids,True
W7ysp8GLCBrs0GXIVwAcBQ,Good For Groups,True
W7ysp8GLCBrs0GXIVwAcBQ,Price Range,1
McikHxxEqZ2X0joaRNKlaw,Take-out,True
McikHxxEqZ2X0joaRNKlaw,Wi-Fi,no
McikHxxEqZ2X0joaRNKlaw,Caters,False
McikHxxEqZ2X0joaRNKlaw,Noise Level,average
McikHxxEqZ2X0joaRNKlaw,Takes Reservations,True
McikHxxEqZ2X0joaRNKlaw,Has TV,True
McikHxxEqZ2X0joaRNKlaw,Delivery,False
McikHxxEqZ2X0joaRNKlaw,Wheelchair Accessible,True
McikHxxEqZ2X0joaRNKlaw,Outdoor Seating,True
McikHxxEqZ2X0joaRNKlaw,Attire,casual
McikHxxEqZ2X0joaRNKlaw,Alcohol,full_bar
McikHxxEqZ2X0joaRNKlaw,Waiter Service,True
McikHxxEqZ2X0joaRNKlaw,Accepts Credit Cards,True
McikHxxEqZ2X0joaRNKlaw,Good for Kids,True
McikHxxEqZ2X0joaRNKlaw,Good For Groups,True
McikHxxEqZ2X0joaRNKlaw,Price Range,2
tv8cS4aaA1VDaInYgggb6g,Price Range,2
tv8cS4aaA1VDaInYgggb6g,Alcohol,full_bar
tv8cS4aaA1VDaInYgggb6g,Good For Dancing,False
tv8cS4aaA1VDaInYgggb6g,Noise Level,very_loud
tv8cS4aaA1VDaInYgggb6g,Coat Check,False
tv8cS4aaA1VDaInYgggb6g,Has TV,False
tv8cS4aaA1VDaInYgggb6g,Happy Hour,False
tv8cS4aaA1VDaInYgggb6g,Outdoor Seating,False
tv8cS4aaA1VDaInYgggb6g,Smoking,no
tv8cS4aaA1VDaInYgggb6g,Accepts Credit Cards,True
tv8cS4aaA1VDaInYgggb6g,Good For Groups,True
tv8cS4aaA1VDaInYgggb6g,Wheelchair Accessible,True
eT5Ck7Gg1dBJobca9VFovw,Accepts Credit Cards,True
eT5Ck7Gg1dBJobca9VFovw,Wheelchair Accessible,True
eT5Ck7Gg1dBJobca9VFovw,Price Range,2
HwwEfnZKLNOUoqfgcwAgcQ,Accepts Credit Cards,True
HwwEfnZKLNOUoqfgcwAgcQ,Wheelchair Accessible,True
HwwEfnZKLNOUoqfgcwAgcQ,Price Range,2
EoAY1JSVeJriBzId8lUQwQ,Alcohol,full_bar
EoAY1JSVeJriBzId8lUQwQ,Noise Level,loud
EoAY1JSVeJriBzId8lUQwQ,Attire,casual
EoAY1JSVeJriBzId8lUQwQ,Good for Kids,False
EoAY1JSVeJriBzId8lUQwQ,Wheelchair Accessible,True
EoAY1JSVeJriBzId8lUQwQ,Good For Dancing,False
EoAY1JSVeJriBzId8lUQwQ,Delivery,False
EoAY1JSVeJriBzId8lUQwQ,Coat Check,False
EoAY1JSVeJriBzId8lUQwQ,Smoking,outdoor
EoAY1JSVeJriBzId8lUQwQ,Accepts Credit Cards,True
EoAY1JSVeJriBzId8lUQwQ,Take-out,True
EoAY1JSVeJriBzId8lUQwQ,Price Range,2
EoAY1JSVeJriBzId8lUQwQ,Happy Hour,True
EoAY1JSVeJriBzId8lUQwQ,Outdoor Seating,True
EoAY1JSVeJriBzId8lUQwQ,Takes Reservations,True
EoAY1JSVeJriBzId8lUQwQ,Waiter Service,True
EoAY1JSVeJriBzId8lUQwQ,Wi-Fi,free
EoAY1JSVeJriBzId8lUQwQ,Caters,False
EoAY1JSVeJriBzId8lUQwQ,Has TV,True
EoAY1JSVeJriBzId8lUQwQ,Good For Groups,True
uI0LvTXFACid1308KFO5ew,Good for Kids,True
Y4CcDDyMoDpK7BbpKawWjw,Accepts Credit Cards,True
Y4CcDDyMoDpK7BbpKawWjw,Wheelchair Accessible,True
Y4CcDDyMoDpK7BbpKawWjw,Price Range,2
TfvWSIAMFZ9zI3y2-K6wOA,Take-out,True
TfvWSIAMFZ9zI3y2-K6wOA,Wi-Fi,no
TfvWSIAMFZ9zI3y2-K6wOA,Noise Level,average
TfvWSIAMFZ9zI3y2-K6wOA,Takes Reservations,False
TfvWSIAMFZ9zI3y2-K6wOA,Has TV,False
TfvWSIAMFZ9zI3y2-K6wOA,Delivery,False
TfvWSIAMFZ9zI3y2-K6wOA,Wheelchair Accessible,True
TfvWSIAMFZ9zI3y2-K6wOA,Outdoor Seating,False
TfvWSIAMFZ9zI3y2-K6wOA,Attire,casual
TfvWSIAMFZ9zI3y2-K6wOA,Alcohol,none
TfvWSIAMFZ9zI3y2-K6wOA,Waiter Service,False
TfvWSIAMFZ9zI3y2-K6wOA,Accepts Credit Cards,True
TfvWSIAMFZ9zI3y2-K6wOA,Good for Kids,True
TfvWSIAMFZ9zI3y2-K6wOA,Good For Groups,False
TfvWSIAMFZ9zI3y2-K6wOA,Price Range,1
tU-YtoW339PXJmUGSix_AQ,Coat Check,False
tU-YtoW339PXJmUGSix_AQ,Take-out,True
tU-YtoW339PXJmUGSix_AQ,Wi-Fi,free
tU-YtoW339PXJmUGSix_AQ,Good For Dancing,False
tU-YtoW339PXJmUGSix_AQ,Takes Reservations,True
tU-YtoW339PXJmUGSix_AQ,Delivery,False
tU-YtoW339PXJmUGSix_AQ,Happy Hour,True
tU-YtoW339PXJmUGSix_AQ,Has TV,True
tU-YtoW339PXJmUGSix_AQ,Outdoor Seating,False
tU-YtoW339PXJmUGSix_AQ,Attire,casual
tU-YtoW339PXJmUGSix_AQ,Alcohol,full_bar
tU-YtoW339PXJmUGSix_AQ,Waiter Service,True
tU-YtoW339PXJmUGSix_AQ,Accepts Credit Cards,True
tU-YtoW339PXJmUGSix_AQ,Good for Kids,True
tU-YtoW339PXJmUGSix_AQ,Good For Groups,True
tU-YtoW339PXJmUGSix_AQ,Caters,True
tU-YtoW339PXJmUGSix_AQ,Price Range,2
6p9TlP2I8S4agxYMNFSDjg,Take-out,True
6p9TlP2I8S4agxYMNFSDjg,Wi-Fi,free
6p9TlP2I8S4agxYMNFSDjg,Caters,True
6p9TlP2I8S4agxYMNFSDjg,Noise Level,average
6p9TlP2I8S4agxYMNFSDjg,Takes Reservations,False
6p9TlP2I8S4agxYMNFSDjg,Has TV,True
6p9TlP2I8S4agxYMNFSDjg,Delivery,False
6p9TlP2I8S4agxYMNFSDjg,Wheelchair Accessible,True
6p9TlP2I8S4agxYMNFSDjg,Outdoor Seating,False
6p9TlP2I8S4agxYMNFSDjg,Attire,casual
6p9TlP2I8S4agxYMNFSDjg,Alcohol,full_bar
6p9TlP2I8S4agxYMNFSDjg,Waiter Service,True
6p9TlP2I8S4agxYMNFSDjg,Accepts Credit Cards,True
6p9TlP2I8S4agxYMNFSDjg,Good for Kids,True
6p9TlP2I8S4agxYMNFSDjg,Good For Groups,True
6p9TlP2I8S4agxYMNFSDjg,Price Range,2
Eu3Iwje0YY8ectr-CxMgqg,By Appointment Only,False
